OBJECTID,SA3,SA2,Scenario,FY21,FY22,FY23,FY24,FY25,FY26,FY27,FY28,FY29,FY30,SA2_CODE21,SA2_NAME21,CHG_FLAG21,CHG_LBL21,SA3_CODE21,SA3_NAME21,SA4_CODE21,SA4_NAME21,GCC_CODE21,GCC_NAME21,STE_CODE21,STE_NAME21,AUS_CODE21,AUS_NAME21,AREASQKM21,LOCI_URI21,Shape__Area,Shape__Length
1,Belconnen,Aranda,Conservative,0,0,0,0,0,0,0,0,0,0,801011001,Aranda,0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.5631,http://linked.data.gov.au/dataset/asgsed3/SA2/801011001,1563543.83959961,5031.19745875092
2,Belconnen,Belconnen,Conservative,1,1,2,3,4,7,10,15,21,29,801011002,Belconnen,0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,4.4261,http://linked.data.gov.au/dataset/asgsed3/SA2/801011002,4425964.52636719,8987.20676859722
3,Belconnen,Bruce,Conservative,0,1,1,2,3,4,6,8,10,13,801011003,Bruce,0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,5.7975,http://linked.data.gov.au/dataset/asgsed3/SA2/801011003,5798460.59985352,10300.2654453571
4,Belconnen,Charnwood,Conservative,0,0,0,0,0,0,0,0,0,0,801011004,Charnwood,0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.8559,http://linked.data.gov.au/dataset/asgsed3/SA2/801011004,1856142.99462891,5572.58964773432
5,Belconnen,Cook,Conservative,0,0,0,0,0,0,0,0,1,1,801011005,Cook,0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.5831,http://linked.data.gov.au/dataset/asgsed3/SA2/801011005,1583398.77416992,5991.53638916808
6,Belconnen,Dunlop,Conservative,0,0,0,0,0,0,0,0,0,0,801011006,Dunlop,0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,3.6054,http://linked.data.gov.au/dataset/asgsed3/SA2/801011006,3605679.03051758,8134.88084580067
7,Belconnen,Evatt,Conservative,0,0,0,0,0,0,0,0,0,0,801011007,Evatt,0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,3.0603,http://linked.data.gov.au/dataset/asgsed3/SA2/801011007,3060631.01782227,8561.94216667326
8,Belconnen,Florey,Conservative,0,0,0,0,0,0,0,0,0,1,801011008,Florey,0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.7554,http://linked.data.gov.au/dataset/asgsed3/SA2/801011008,2755489.93164063,7169.32275646142
9,Belconnen,Flynn (ACT),Conservative,0,0,0,0,0,0,0,0,0,0,801011009,Flynn (ACT),0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.0955,http://linked.data.gov.au/dataset/asgsed3/SA2/801011009,2095782.06738281,7454.98494154043
10,Belconnen,Fraser,Conservative,0,0,0,0,0,0,0,0,0,0,801011010,Fraser,0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.4751,http://linked.data.gov.au/dataset/asgsed3/SA2/801011010,2475121.55249023,8306.19241182645
11,Belconnen,Giralang,Conservative,0,0,0,0,0,0,0,0,0,0,801011011,Giralang,0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.4467,http://linked.data.gov.au/dataset/asgsed3/SA2/801011011,2446954.55810547,6510.25125066977
12,Belconnen,Gooromon,Conservative,0,0,0,0,0,0,0,0,0,0,801011012,Gooromon,0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,9.9448,http://linked.data.gov.au/dataset/asgsed3/SA2/801011012,9945407.3046875,18848.696025173
13,Belconnen,Hawker,Conservative,0,0,0,0,0,0,0,0,1,1,801011013,Hawker,0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.9562,http://linked.data.gov.au/dataset/asgsed3/SA2/801011013,1956091.77954102,5997.01515878248
14,Belconnen,Higgins,Conservative,0,0,0,0,0,0,0,0,0,0,801011014,Higgins,0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.6743,http://linked.data.gov.au/dataset/asgsed3/SA2/801011014,1674262.23291016,5641.420319513
15,Belconnen,Holt,Conservative,0,0,0,0,0,0,0,1,1,1,801011015,Holt,0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,3.2957,http://linked.data.gov.au/dataset/asgsed3/SA2/801011015,3295721.28149414,8185.09628351215
16,Belconnen,Kaleen,Conservative,0,0,0,0,0,0,0,0,0,0,801011016,Kaleen,0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,6.0268,http://linked.data.gov.au/dataset/asgsed3/SA2/801011016,6028045.45043945,10578.0729368469
